network_id,network_name,network_type,technology,energy_per_mb_wh,energy_per_gb_wh,typical_latency_ms,bandwidth_mbps,carbon_multiplier,availability,source_url,confidence,notes,data_collected_date
ethernet-1g,Ethernet 1 Gbps,Wired-Local,1000BASE-T,2e-05,0.02,1,1000,1.0,Office/Home,https://www.ieee.org/,0.95,Referencia mínima. Conexión directa cableada.,2026-01-28
ethernet-10g,Ethernet 10 Gbps,Wired-Local,10GBASE-T,3e-05,0.03,1,10000,1.0,Enterprise/Datacenter,https://www.ieee.org/,0.95,Conexión empresarial de alta velocidad.,2026-01-28
wifi-6e,WiFi 6E (802.11ax),Wireless-Local,WiFi 6E,4e-05,0.04,5,2400,1.0,Home/Office,https://www.wi-fi.org/discover-wi-fi/wi-fi-certified-6e,0.85,Más eficiente que WiFi 5. Banda 6GHz.,2026-01-28
fiber-ftth,Fibra Óptica FTTH,Fixed,Fiber to the Home,6e-05,0.06,5,1000,1.0,Urban/Suburban,https://www.iea.org/commentaries/the-carbon-footprint-of-streaming-video-fact-checking-the-headlines,0.9,Más eficiente. ~0.06 kWh/GB según IEA 2020.,2026-01-28
wifi-5,WiFi 5 (802.11ac),Wireless-Local,WiFi 5,6e-05,0.06,10,1300,1.0,Home/Office,https://www.wi-fi.org/,0.88,Estándar común. Buena eficiencia.,2026-01-28
5g-sa,5G Standalone,Mobile,5G NR Standalone,8e-05,0.08,10,1000,1.1,Urban,https://www.gsma.com/futurenetworks/resources/5g-energy-efficiency/,0.82,5G puro. 90% más eficiente que 4G según GSMA.,2026-01-28
wifi-4,WiFi 4 (802.11n),Wireless-Local,WiFi 4,0.0001,0.1,20,300,1.0,Legacy,https://www.wi-fi.org/,0.8,Legacy. Menos eficiente.,2026-01-28
cable-docsis,Cable Coaxial DOCSIS 3.1,Fixed,HFC (Hybrid Fiber Coax),0.0001,0.1,15,500,1.0,Urban/Suburban,https://www.iea.org/reports/data-centres-and-data-transmission-networks,0.85,Cable tradicional. Menos eficiente que fibra.,2026-01-28
5g-nsa,5G Non-Standalone,Mobile,5G NR NSA (LTE anchor),0.00012,0.12,20,500,1.15,Urban/Suburban,https://www.gsma.com/futurenetworks/,0.8,5G con ancla LTE. Menos eficiente que SA.,2026-01-28
dsl-vdsl,DSL/VDSL,Fixed,Digital Subscriber Line,0.00015,0.15,25,100,1.0,Widespread,https://www.iea.org/reports/data-centres-and-data-transmission-networks,0.8,Tecnología legacy. Mayor consumo por MB.,2026-01-28
4g-lte-advanced,4G LTE-Advanced,Mobile,LTE-A (Cat 12+),0.00025,0.25,35,300,1.25,Widespread,https://www.gsma.com/,0.88,4G avanzado. Carrier Aggregation.,2026-01-28
4g-lte,4G LTE,Mobile,LTE (Cat 4-6),0.00035,0.35,50,150,1.3,Widespread,https://www.iea.org/reports/data-centres-and-data-transmission-networks,0.9,LTE estándar. ~0.35 kWh/GB según IEA.,2026-01-28
3g-hspa,3G HSPA+,Mobile,HSPA+,0.0008,0.8,100,42,1.5,Decreasing,https://www.iea.org/,0.85,Legacy 3G. Mucho menos eficiente que 4G/5G.,2026-01-28
satellite-leo,Satélite LEO (Starlink),Satellite,Low Earth Orbit,0.0015,1.5,40,200,1.8,Global,https://www.starlink.com/,0.7,LEO mejor que GEO. Estimación incluye ground stations.,2026-01-28
satellite-geo,Satélite GEO (Tradicional),Satellite,Geostationary Orbit,0.003,3.0,600,50,2.0,Global,https://www.esa.int/,0.65,Alta latencia. Alto consumo energético.,2026-01-28
