dc_id,provider_name,region,country_code,pue,provider_renewable_pct,cooling_type,notes,source_url,confidence,data_type,data_collected_date
deepgreen-uk-exmouth,Deep Green,Exmouth (UK),UK,1.005,100,Immersion (Digital Boiler),Exmouth Leisure Centre. Achieves PUE 1.005 by donating 96% of heat to pool.,https://dcsawards.com/frontend/assets/uploads/1689850853-DCS%20Awards%202023%20Winners.pdf,1.0,Official Case Study,2026-01-31
gcp-us-west1,Google Cloud,us-west1 (Oregon),US,1.06,100,Evaporative,The Dalles (2nd facility). Tied for best US efficiency.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-or1-a,Google Cloud,"us-or1 (Oregon, Facility 2)",US,1.06,100,Evaporative,"The Dalles, Oregon (2nd facility). Tied for best US efficiency.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-east5,Google Cloud,us-east5 (Ohio),US,1.06,100,Adiabatic,Columbus / New Albany. One of the newest and most efficient.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-oh1,Google Cloud,us-oh1 (Ohio),US,1.07,100,Adiabatic,"New Albany, Ohio.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-au-sy1,Google Cloud,au-sy1 (Sydney),AU,1.07,100,Adiabatic,"Sydney, Australia.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west3,Google Cloud,europe-west3 (Denmark),DK,1.07,100,Free Cooling,Fredericia campus. One of the best PUEs globally.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-central1,Google Cloud,us-central1 (Iowa),US,1.07,100,Adiabatic,Council Bluffs (2nd facility). Highly optimized.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-ia1-b,Google Cloud,"us-ia1 (Iowa, Facility 2)",US,1.07,100,Adiabatic,"Council Bluffs, Iowa (2nd facility).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-east4,Google Cloud,us-east4 (Virginia),US,1.08,100,Adiabatic,Loudoun County (2nd facility). Better than AWS/Azure in same region.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west4,Google Cloud,europe-west4 (Netherlands),NL,1.08,100,Adiabatic,Eemshaven campus. Excellent efficiency.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-au-mel1,Google Cloud,au-mel1 (Melbourne),AU,1.08,100,Adiabatic,"Melbourne, Australia.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-va1-b,Google Cloud,"us-va1 (Virginia, Facility B)",US,1.08,100,Adiabatic,"Loudoun County, Virginia (2nd facility).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west2,Google Cloud,europe-west2 (Ireland),IE,1.08,100,Air Cooling,Dublin campus. Consistently efficient (1.08).,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west1,Google Cloud,europe-west1 (Belgium),BE,1.08,100,Evaporative,St. Ghislain campus. Highly efficient.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
