device_id,device_name,device_type,manufacturer,cpu_model,cpu_tdp_watts,cpu_cores,cpu_architecture,gpu_model,gpu_tdp_watts,gpu_compute_units,gpu_tflops,npu_model,npu_tdp_watts,npu_tops,has_npu,inference_cpu_watts,inference_gpu_watts,inference_npu_watts,system_idle_watts,system_tdp_watts,memory_gb,memory_bandwidth_gbps,year_released,primary_inference_target,source_url,confidence,notes,data_collected_date
smart-speaker-echo,Amazon Echo (4th Gen),Smart Speaker,Amazon,Amazon AZ2 Neural Edge,2.5,4,ARM Cortex custom,None,0.0,0,0.0,AZ2 Neural Edge Processor,1.0,1.0,True,2.0,0.0,0.8,2.0,4.0,1,8.5,2023,npu,https://www.amazon.com/echo,0.8,Procesamiento local limitado. Mayoría en cloud.,2026-01-28
smart-speaker-homepod,Apple HomePod (2nd Gen),Smart Speaker,Apple,Apple S7,3.0,2,ARM Apple Silicon,Apple S7 GPU,1.0,2,0.1,Apple Neural Engine (limited),1.0,0.6,True,2.5,0.8,0.6,2.5,5.0,1,8.5,2023,npu,https://www.apple.com/homepod/specs/,0.8,Siri on-device para comandos básicos.,2026-01-28
edge-coral-tpu,Google Coral Dev Board,Edge Device,Google,NXP i.MX 8M (Cortex-A53),3.0,4,ARM Cortex-A53,Vivante GC7000Lite,1.0,4,0.05,Google Edge TPU,2.0,4.0,True,2.0,0.5,1.5,2.0,6.0,4,12.8,2019,npu,https://coral.ai/products/dev-board/,0.92,Edge TPU para modelos TFLite cuantizados. 2 TOPS/W eficiencia.,2026-01-28
phone-budget-average,Smartphone Budget Promedio,Smartphone,Generic,Snapdragon 6 Gen 1,4.0,8,ARM Cortex-A78 + A55,Adreno 710,3.5,4,0.8,Hexagon (limited),1.5,8.0,True,2.5,2.0,1.0,0.3,6.0,6,25.6,2023,cpu,https://www.qualcomm.com/snapdragon-6-gen-1,0.75,"Promedio gama media. NPU limitado, inferencia típicamente en CPU.",2026-01-28
phone-pixel-8-pro,Google Pixel 8 Pro,Smartphone,Google,Google Tensor G3 (9-core),5.5,9,ARM Cortex-X3 + A715 + A510,Mali-G715 MC10,7.0,10,2.1,Google Tensor TPU,2.5,30.0,True,3.0,4.5,1.8,0.4,7.5,12,44.0,2023,npu,https://store.google.com/product/pixel_8_pro_specs,0.88,Tensor G3 optimizado para Gemini Nano on-device.,2026-01-28
phone-iphone-15-pro,iPhone 15 Pro Max,Smartphone,Apple,Apple A17 Pro (6-core),6.0,6,ARM Cortex custom,Apple A17 Pro GPU (6-core),8.0,6,2.15,Apple Neural Engine 16-core,2.0,35.0,True,3.5,5.0,1.5,0.5,8.5,8,51.2,2023,npu,https://www.apple.com/iphone-15-pro/specs/,0.88,A17 Pro optimizado para Core ML. NPU preferido para inferencia.,2026-01-28
phone-samsung-s24-ultra,Samsung Galaxy S24 Ultra,Smartphone,Samsung,Snapdragon 8 Gen 3 (8-core),7.0,8,ARM Cortex-X4 + A720 + A520,Adreno 750,9.0,6,3.8,Hexagon NPU,3.0,45.0,True,4.0,6.0,2.0,0.6,10.0,12,51.2,2024,npu,https://www.qualcomm.com/snapdragon-8-gen-3,0.85,Snapdragon 8 Gen 3 con Hexagon NPU optimizado para LLMs on-device.,2026-01-28
edge-raspberry-pi-5,Raspberry Pi 5,Edge Device,Raspberry Pi Foundation,Broadcom BCM2712 (Cortex-A76),8.0,4,ARM Cortex-A76,VideoCore VII,4.0,12,0.1,None (external via HAT),0.0,0.0,False,6.0,3.0,0.0,3.0,12.0,8,34.0,2023,cpu,https://www.raspberrypi.com/products/raspberry-pi-5/,0.92,Edge inference típicamente en CPU. Puede añadir Coral TPU.,2026-01-28
tablet-android-average,Tablet Android Promedio,Tablet,Generic,Snapdragon 870,8.0,8,ARM Cortex-A77 + A55,Adreno 650,7.0,4,1.5,Hexagon 698,2.0,15.0,True,5.0,5.0,1.5,1.0,15.0,8,34.1,2023,npu,https://www.qualcomm.com/snapdragon-870,0.7,Promedio tablets Android gama media-alta.,2026-01-28
tablet-ipad-pro-m4,iPad Pro M4,Tablet,Apple,Apple M4 (10-core),10.0,10,ARM Apple Silicon,Apple M4 GPU (10-core),15.0,10,4.3,Apple Neural Engine 16-core,4.0,38.0,True,7.0,10.0,3.0,1.5,22.0,16,120.0,2024,npu,https://www.apple.com/ipad-pro/specs/,0.92,M4 con 38 TOPS Neural Engine. Muy eficiente.,2026-01-28
